stratum,hop_count,spec_band,count,share_within_stratum_hop
credit_cards,3,<0.01,3110,0.273407
credit_cards,3,0.01-0.05,7619,0.669802
credit_cards,3,0.05-0.1,513,0.045099
credit_cards,3,>=0.1,133,0.011692
credit_cards,4,<0.01,14766,0.215723
credit_cards,4,0.01-0.05,52134,0.761647
credit_cards,4,0.05-0.1,1426,0.020833
credit_cards,4,>=0.1,123,0.001797
cross_domain,3,<0.01,640431,0.806948
cross_domain,3,0.01-0.05,149592,0.188487
cross_domain,3,0.05-0.1,3137,0.003953
cross_domain,3,>=0.1,486,0.000612
cross_domain,4,<0.01,32418438,0.897515
cross_domain,4,0.01-0.05,3686070,0.102050
cross_domain,4,0.05-0.1,15058,0.000417
cross_domain,4,>=0.1,635,0.000018
education_center,3,<0.01,2017093,0.801742
education_center,3,0.01-0.05,482715,0.191867
education_center,3,0.05-0.1,13562,0.005391
education_center,3,>=0.1,2517,0.001000
education_center,4,<0.01,85775675,0.911028
education_center,4,0.01-0.05,8325121,0.088422
education_center,4,0.05-0.1,48937,0.000520
education_center,4,>=0.1,2855,0.000030
